video_id,video_url,video_category,platform,title,source_name,access_date,activity_focus,construction_context,total_video_duration,visibility_quality,coding_confidence,inclusion_status,score_relevance,score_visual_clarity,score_activity_continuity,score_activity_identifiability,score_interaction_visibility,score_editing_level,score_parameter_measurability,suitability_total_score,suitability_band,notes,manufacturer_name,robot_brand,robot_model,robot_category,robot_activity_group,manufacturer_verified,comparison_robot,suitability_score,data_use,manual_data_use_override,override_reason,is_duplicate_or_parallel,duplicate_group_id,independent_sample,parallel_source_note
R01,https://www.youtube.com/@Brightmasterrobotics_BMR/videos,robot,YouTube,BrightMaster Robotics Official Channel,BrightMaster Robotics,2026-06-27,"leveling,finishing,grinding,multi-robot",mixed,n/a,n/a,high,include_pool,2,n/a,n/a,2,n/a,n/a,2,n/a,source_pool,"17 channel videos catalogued; R02 and R05-R21 individually screened (structured: R09-R13,R15; qualitative: R04,R14,R16-R20; exclude: R21)",unknown,unknown,unknown,unknown,unknown,unknown,no,,qualitative_only,,,no,,,
R02,https://www.youtube.com/shorts/ICOBNE0471E,robot,YouTube,Floor leveling robot working. Are you happy with this effect? #construction #floor level #concrete,Brightmasterrobotics_BMR,2026-06-27,concrete_leveling,open_slab,16,high,medium,include,2,2,2,2,2,1,1,12,structured_extraction,YouTube Short; promotional text overlay; duration not for productivity claims,BrightMaster,BrightMaster,unknown,concrete_leveling_robot,fresh_concrete_leveling,yes,no,12,structured_coding,,,no,,yes,
R03,https://www.youtube.com/watch?v=2Mlp_fRBfD0,robot,YouTube,Concrete Floor Smoothing Robot,JobToRob,2026-06-27,concrete_finishing,slab,14,medium,low,exclude,1,1,1,1,0,1,0,5,exclude,14s clip; manufacturer not verified as BrightMaster,unknown,unknown,unknown,concrete_finishing_robot,fresh_concrete_finishing,no,yes,5,exclude,,,no,,,
R04,https://www.facebook.com/61583714351020/videos/concrete-leveling-robot-works-at-any-height/938901825735810/,robot,Facebook,Concrete Leveling Robot Works at Any Height,BrightMaster,2026-06-27,"transport,lifting,leveling",high-rise,unknown,medium,medium,qualitative_only,2,1,1,2,1,1,1,9,qualitative_only,Facebook supplementary source; transport/lifting/leveling logistics; less stable citation than YouTube; no structured segment coding,BrightMaster,BrightMaster,unknown,concrete_leveling_robot,robot_transport_setup,yes,no,9,qualitative_only,,,no,,,
T01,https://en.bm-robot.com/detail/173.html,technical_spec,manufacturer_website,BrightMaster Concrete Leveling Robot,BrightMaster,2026-06-27,concrete_leveling,spec_reference,n/a,n/a,high,include_specs_only,2,n/a,n/a,2,n/a,n/a,2,n/a,manufacturer_reported_E3,E3 specs only; not video observation,BrightMaster,BrightMaster,unknown,other,concrete_leveling,yes,no,,structured_coding,,,no,,yes,
T02,https://en.bm-robot.com/detail/174.html,technical_spec,manufacturer_website,BrightMaster Concrete Finishing Robot,BrightMaster,2026-06-27,concrete_finishing,spec_reference,n/a,n/a,high,include_specs_only,2,n/a,n/a,2,n/a,n/a,2,n/a,manufacturer_reported_E3,E3 specs only; not video observation,BrightMaster,BrightMaster,unknown,other,concrete_finishing,yes,no,,structured_coding,,,no,,yes,
M01,https://www.youtube.com/watch?v=tuk1yi-lEwo,mivan,YouTube,MIVAN Shuttering Procedure I 7 days Slab Cycle I aluminium formwork,DND Construction,2026-06-27,"slab_cycle,formwork,pour,rebar",high-rise,781,medium,medium,include,2,2,1,2,1,1,2,11,structured_extraction,Educational voiceover with embedded field clips; segment timing not real-time,unknown,unknown,unknown,unknown,unknown,unknown,no,11,structured_coding,,,no,DUP-MIVAN-SLAB-7DAY,yes,Primary DND slab-cycle documentary
M02,https://www.youtube.com/watch?v=AiTlMoNKdNk,mivan,YouTube,MIVAN Shuttering Process: From Start to Finish #mivan @DNDConstruction,Civil Construct,2026-06-27,"formwork,rebar,slab_cycle,pour,stripping",high-rise,3101,high,high,include,2,2,2,2,2,1,2,13,structured_extraction,51-min field documentary with YouTube chapter markers; linked to DND Construction content,unknown,unknown,unknown,unknown,unknown,unknown,no,13,structured_coding,,,no,,yes,
M03,https://www.youtube.com/watch?v=tBguN9TTEYQ,mivan,YouTube,Mivan Formwork / Mivan Shuttering / Aluminium Formwork,Engineering Motive,2026-06-27,"formwork,finish_quality",high-rise,410,high,medium,include,2,2,1,2,1,1,2,11,structured_extraction,Educational components and process overview with YouTube chapters,unknown,unknown,unknown,unknown,unknown,unknown,no,11,structured_coding,,,no,,yes,
M04,https://www.youtube.com/playlist?list=PLo4LD64ASBprAVBlA2q0p0F2eljYqZycR,mivan,YouTube,Aluminium Formwork / MIVAN Technology Playlist,unknown,2026-06-27,"formwork,workflow_pool",high-rise,n/a,n/a,medium,include_pool,2,n/a,n/a,2,n/a,n/a,2,n/a,source_pool,8-video playlist screened; M06 added from pool; remaining entries overlap M01/M02/M05,unknown,unknown,unknown,unknown,unknown,unknown,no,,qualitative_only,,,no,,,
