observation_id,video_id,segment_id,video_category,activity_type,workflow_stage,labour_count_visible,robot_operator_count,movement_pattern,operating_surface,congestion_level,reinforcement_complexity,access_condition,safety_condition,task_duration_observed,duration_validity,evidence_level,coding_confidence,source_type,visibility_quality,data_use,visible_segment_duration_sec,duration_validity_reason,usable_for_productivity,is_duplicate_or_parallel,duplicate_group_id,independent_sample,label_revision_note,manufacturer_name,robot_category
OBS-M01-003,M01,M01-S03,mivan,wall_panel_erection,pre-pour,6,,,,high,medium,congested,moderate,191,invalid,E1,medium,video_observed,medium,modelling_ready,191,public video segment; not verified productivity duration,no,no,DUP-MIVAN-SLAB-7DAY,yes,,unknown,
OBS-M01-005,M01,M01-S05,mivan,slab_reinforcement,pre-pour,6,,,,high,high,congested,moderate,115,invalid,E2,medium,video_estimated,medium,structured_coding,115,public video segment; not verified productivity duration,no,no,DUP-MIVAN-SLAB-7DAY,no,,unknown,
OBS-M01-008,M01,M01-S08,mivan,concrete_pour,pour,5,,,,medium,medium,open,moderate,27,invalid,E2,low,video_estimated,medium,qualitative_only,27,public video segment; not verified productivity duration,no,no,DUP-MIVAN-SLAB-7DAY,no,,unknown,
OBS-M02-005,M02,M02-S05,mivan,formwork_erection,pre-pour,8,,,,high,medium,congested,moderate,208,invalid,E1,high,video_observed,high,modelling_ready,208,public video segment; not verified productivity duration,no,no,,yes,,unknown,
OBS-M02-009,M02,M02-S09,mivan,mep_slab_work,pre-pour,4,,,,medium,medium,partially_restricted,moderate,158,invalid,E1,high,video_observed,high,modelling_ready,158,public video segment; not verified productivity duration,no,no,,yes,,unknown,
OBS-M02-010,M02,M02-S10,mivan,concrete_pour,pour,8,,,,medium,medium,open,moderate,205,invalid,E1,high,video_observed,high,modelling_ready,205,public video segment; not verified productivity duration,no,no,,yes,,unknown,
OBS-M02-013,M02,M02-S13,mivan,deshuttering,post-cast,6,,,,medium,low,partially_restricted,moderate,99,invalid,E1,high,video_observed,high,modelling_ready,99,public video segment; not verified productivity duration,no,no,,yes,,unknown,
OBS-R02-001,R02,R02-S01,robot,concrete_leveling,pour,,1,linear,wet_concrete,low,,open,moderate,16,invalid,E1,medium,video_observed,high,modelling_ready,16,public video segment; not verified productivity duration,no,no,,yes,,BrightMaster,concrete_leveling_robot
OBS-R05-001,R05,R05-S01,robot,post_cast_coating,post-cast,,0,grid-based,hardened_concrete,low,,open,good,60,invalid,E2,medium,video_estimated,high,modelling_ready,60,public video segment; not verified productivity duration,no,no,,yes,Indoor coating on hardened surface; not fresh concrete,BrightMaster,coating_robot
OBS-R06-001,R06,R06-S01,robot,floor_grinding,post-cast,,0,guided,hardened_concrete,low,,open,good,178,invalid,E2,medium,video_estimated,high,modelling_ready,178,public video segment; not verified productivity duration,no,no,,yes,,BrightMaster,floor_grinding_robot
OBS-M03-002,M03,M03-S02,mivan,formwork_process,pre-pour,4,,,,medium,medium,partially_restricted,moderate,257,invalid,E2,medium,video_estimated,high,modelling_ready,257,public video segment; not verified productivity duration,no,no,,yes,,unknown,
OBS-M05-003,M05,M05-S03,mivan,wall_panel_erection,pre-pour,6,,,,high,medium,congested,moderate,176,invalid,E2,medium,video_estimated,medium,structured_coding,176,public video segment; not verified productivity duration,no,yes,DUP-MIVAN-SLAB-7DAY,no,,unknown,
OBS-R09-001,R09,R09-S01,robot,concrete_leveling,pour,,1,linear,wet_concrete,low,,open,good,79,invalid,E2,medium,video_estimated,high,modelling_ready,79,public video segment; not verified productivity duration,no,no,,yes,,BrightMaster,concrete_leveling_robot
OBS-R10-001,R10,R10-S01,robot,floor_grinding,post-cast,,0,grid-based,hardened_concrete,low,,open,good,79,invalid,E2,medium,video_estimated,high,modelling_ready,79,public video segment; not verified productivity duration,no,no,,yes,,BrightMaster,floor_grinding_robot
OBS-R15-001,R15,R15-S01,robot,layout_marking,pre-pour,,0,point_to_point,pre_pour_slab,low,,open,good,94,invalid,E2,medium,video_estimated,high,modelling_ready,94,public video segment; not verified productivity duration,no,no,,yes,,BrightMaster,layout_robot
OBS-M06-001,M06,M06-S01,mivan,post_cast_finishing,post-cast,4,,,,medium,low,partially_restricted,moderate,240,invalid,E2,medium,video_estimated,medium,modelling_ready,240,public video segment; not verified productivity duration,no,no,,yes,,unknown,
OBS-R22-001,R22,R22-S01,robot,concrete_leveling,pour,,1,linear,wet_concrete,low,,open,good,55,invalid,E2,medium,video_estimated,high,modelling_ready,55,public video segment; not verified productivity duration,no,no,,yes,Non-BrightMaster comparison manufacturer,Bright Dream,concrete_leveling_robot
