scenario_id,is_synthetic,generation_method,source_seed_id,scenario_family,logical_validity,constraint_violation_count,synthetic_provenance,generation_date,record_origin,pilot_only,training_seed_count,not_for_statistical_inference,synthetic_generation_method,generation_note,video_category_enc,activity_group_enc,workflow_stage_enc,movement_pattern_enc,operating_surface_enc,congestion_level_enc,reinforcement_complexity_enc,access_condition_enc,safety_condition_enc,evidence_level_enc,coding_confidence_enc,manufacturer_name_enc,comparison_robot_enc,labour_count_visible,robot_operator_count
SYN-GAN-001,yes,tabular_vae,gan_pilot_training_set,SF-ROBOT-FRESH-CONCRETE,pass,0,tabular_generative_pilot,2026-06-28,synthetic_pilot,yes,14,yes,tabular_vae,Pilot synthetic row in synthetic_scenario_dataset_gan.csv,1,4,2,1,2,1,0,1,3,2,2,1,0,1,0
SYN-GAN-002,yes,tabular_vae,gan_pilot_training_set,SF-ROBOT-FRESH-CONCRETE,pass,0,tabular_generative_pilot,2026-06-28,synthetic_pilot,yes,14,yes,tabular_vae,Pilot synthetic row in synthetic_scenario_dataset_gan.csv,1,4,2,0,0,1,0,1,2,2,2,0,0,2,0
SYN-GAN-003,yes,tabular_vae,gan_pilot_training_set,SF-ROBOT-FRESH-CONCRETE,pass,0,tabular_generative_pilot,2026-06-28,synthetic_pilot,yes,14,yes,tabular_vae,Pilot synthetic row in synthetic_scenario_dataset_gan.csv,1,4,2,1,2,1,0,1,3,2,2,1,0,0,0
SYN-GAN-004,yes,tabular_vae,gan_pilot_training_set,SF-ROBOT-FRESH-CONCRETE,pass,0,tabular_generative_pilot,2026-06-28,synthetic_pilot,yes,14,yes,tabular_vae,Pilot synthetic row in synthetic_scenario_dataset_gan.csv,1,4,2,1,0,1,0,1,2,2,2,0,0,2,0
SYN-GAN-005,yes,tabular_vae,gan_pilot_training_set,SF-ROBOT-FRESH-CONCRETE,pass,0,tabular_generative_pilot,2026-06-28,synthetic_pilot,yes,14,yes,tabular_vae,Pilot synthetic row in synthetic_scenario_dataset_gan.csv,1,4,2,1,1,1,0,1,3,2,2,1,0,1,0
SYN-GAN-006,yes,tabular_vae,gan_pilot_training_set,SF-ROBOT-FRESH-CONCRETE,pass,0,tabular_generative_pilot,2026-06-28,synthetic_pilot,yes,14,yes,tabular_vae,Pilot synthetic row in synthetic_scenario_dataset_gan.csv,1,4,2,1,2,2,0,1,3,2,2,0,0,4,0
SYN-GAN-007,yes,tabular_vae,gan_pilot_training_set,SF-ROBOT-FRESH-CONCRETE,pass,0,tabular_generative_pilot,2026-06-28,synthetic_pilot,yes,14,yes,tabular_vae,Pilot synthetic row in synthetic_scenario_dataset_gan.csv,1,4,2,1,0,1,0,1,3,2,2,1,0,0,0
SYN-GAN-008,yes,tabular_vae,gan_pilot_training_set,SF-ROBOT-FRESH-CONCRETE,pass,0,tabular_generative_pilot,2026-06-28,synthetic_pilot,yes,14,yes,tabular_vae,Pilot synthetic row in synthetic_scenario_dataset_gan.csv,1,4,2,1,0,2,0,1,2,2,2,1,0,2,0
SYN-GAN-009,yes,tabular_vae,gan_pilot_training_set,SF-ROBOT-FRESH-CONCRETE,pass_with_warnings,2,tabular_generative_pilot,2026-06-28,synthetic_pilot,yes,14,yes,tabular_vae,Pilot synthetic row in synthetic_scenario_dataset_gan.csv,1,4,2,3,3,1,0,1,3,2,2,1,0,0,0
SYN-GAN-010,yes,tabular_vae,gan_pilot_training_set,SF-ROBOT-FRESH-CONCRETE,pass,0,tabular_generative_pilot,2026-06-28,synthetic_pilot,yes,14,yes,tabular_vae,Pilot synthetic row in synthetic_scenario_dataset_gan.csv,1,4,2,1,0,1,0,1,3,2,2,0,0,2,0
