candidate_id,manufacturer_name,robot_brand,robot_model,robot_category,country_or_region,source_url,source_type,manufacturer_verified,comparison_robot,relevance_to_mivan,recommended_use,review_status,notes,task_similarity_to_mivan,source_stability,video_available,spec_available,included_in_current_dataset,reason_not_included,screening_status,robot_task_family
CAND-BM-01,BrightMaster,BrightMaster,unknown,concrete_leveling_robot,China,https://www.youtube.com/@Brightmasterrobotics_BMR/videos,video_channel,yes,no,high,video_coding,screened,Primary demo channel; individual videos coded R02 R05-R15,high,youtube,yes,yes,partial,One of several robot sources; majority of current robot observations,comparison_only,fresh_concrete_leveling
CAND-BM-02,BrightMaster,BrightMaster,unknown,concrete_leveling_robot,China,https://en.bm-robot.com/detail/173.html,manufacturer_website,yes,no,high,manufacturer_specs,screened,T01 E3 specs,high,official_page,no,yes,partial,Specs only in manufacturer_specs.csv,included,fresh_concrete_leveling
CAND-BD-01,Bright Dream,Bright Dream,unknown,concrete_leveling_robot,China,https://www.youtube.com/watch?v=o_m1G_GZOa0,video_observed,yes,yes,high,video_coding,screened,R22 coded; manufacturer verified via JobToRob and bzlrobot.com,high,youtube,yes,no,yes,,included,fresh_concrete_leveling
CAND-FM-01,Floor Master,Floor Master,unknown,floor_grinding_robot,unknown,https://www.floormaster.com/,manufacturer_website,unknown,yes,medium,comparison_only,deferred_post_stage1,Post-cast grinding comparison candidate,medium,official_page,unknown,unknown,no,Needs verified demo URL before coding,deferred,floor_grinding
CAND-HTQ-01,Husqvarna,Husqvarna,unknown,floor_grinding_robot,Sweden,https://www.husqvarna.com/construction/floor-grinding,manufacturer_website,unknown,yes,medium,comparison_only,deferred,Post-cast floor grinding reference; not coded,medium,official_page,unknown,yes,no,Manufacturer page only; no structured video coding yet,deferred,floor_grinding
CAND-KJ-01,Kajima,Kajima,unknown,layout_robot,Japan,https://www.kajima.co.jp/english/tech/topics/robot/,manufacturer_website,unknown,yes,medium,comparison_only,deferred_post_stage1,Layout/measurement robot reference,medium,official_page,unknown,unknown,no,Academic/industry comparison for future expansion,deferred,layout_marking
CAND-RB-01,unknown,unknown,unknown,rebar_tying_robot,global,https://www.youtube.com/results?search_query=construction+rebar+tying+robot,video_search,unknown,yes,high,video_coding,deferred_post_stage1,Search pool only,high,youtube,unknown,unknown,no,Individual videos must be screened in future pass,deferred,rebar_tying
CAND-CRB-01,Construction Robotics,Terminator,unknown,rebar_tying_robot,USA,https://www.construction-robotics.com/,manufacturer_website,unknown,yes,medium,comparison_only,deferred,Rebar tying robot reference for high-rise context,medium,official_page,unknown,yes,no,No Mivan-site video coded; comparison candidate only,deferred,rebar_tying
CAND-INS-01,unknown,unknown,unknown,inspection_robot,global,https://www.youtube.com/results?search_query=construction+site+inspection+robot,video_search,unknown,yes,medium,video_coding,deferred_post_stage1,Inspection robots for deployment readiness context,medium,youtube,unknown,unknown,no,Deferred to post-Stage-1 expansion,deferred,inspection
CAND-JTR-01,unknown,JobToRob,unknown,concrete_finishing_robot,unknown,https://www.youtube.com/watch?v=2Mlp_fRBfD0,video_observed,no,yes,low,exclude,screened,R03 excluded; manufacturer not verified,low,youtube,yes,no,no,Manufacturer not verified,excluded,other
CAND-DJI-01,DJI,DJI,unknown,inspection_robot,China,https://enterprise.dji.com/drone-use-in-construction,manufacturer_website,unknown,yes,low,comparison_only,deferred,Construction site inspection/drone context only,low,official_page,unknown,unknown,no,Not a ground robot; qualitative comparison only,deferred,inspection
