scenario_id,is_synthetic,generation_method,source_seed_id,scenario_family,logical_validity,constraint_violation_count,synthetic_provenance,generation_date,video_category_enc,activity_group_enc,workflow_stage_enc,movement_pattern_enc,operating_surface_enc,congestion_level_enc,reinforcement_complexity_enc,access_condition_enc,safety_condition_enc,evidence_level_enc,coding_confidence_enc,manufacturer_name_enc,comparison_robot_enc,labour_count_visible,robot_operator_count
SYN-001,yes,rule_expanded,SEED-012,SF-DEPLOYMENT-JOINT,pass,0,rule_expanded,2026-06-28,1,9,1,4,2,1,0,2,3,2,2,1,0,0,0
SYN-002,yes,rule_expanded,SEED-012,SF-DEPLOYMENT-JOINT,pass,0,rule_expanded,2026-06-28,1,9,1,4,2,2,0,1,3,2,2,1,0,0,0
SYN-003,yes,rule_expanded,SEED-012,SF-DEPLOYMENT-JOINT,pass,0,rule_expanded,2026-06-28,1,9,1,4,2,2,0,2,3,2,2,1,0,0,0
SYN-004,yes,rule_expanded,SEED-012,SF-DEPLOYMENT-JOINT,pass,0,rule_expanded,2026-06-28,1,9,1,4,2,2,0,3,3,2,2,1,0,0,0
SYN-005,yes,rule_expanded,SEED-012,SF-DEPLOYMENT-JOINT,pass,0,rule_expanded,2026-06-28,1,9,1,4,2,1,0,1,3,2,2,1,0,0,1
SYN-006,yes,rule_expanded,SEED-012,SF-DEPLOYMENT-JOINT,pass,0,rule_expanded,2026-06-28,1,9,1,4,2,1,0,1,3,2,2,1,0,0,2
SYN-007,yes,rule_expanded,SEED-001|SEED-012,SF-DEPLOYMENT-JOINT,pass,0,rule_expanded,2026-06-28,1,9,1,4,2,2,2,1,3,2,2,1,0,6,0
SYN-008,yes,rule_expanded,SEED-001|SEED-012,SF-DEPLOYMENT-JOINT,pass,0,rule_expanded,2026-06-28,1,9,1,4,2,2,2,2,3,2,2,1,0,6,0
SYN-009,yes,rule_expanded,SEED-001|SEED-012,SF-DEPLOYMENT-JOINT,pass,0,rule_expanded,2026-06-28,1,9,1,4,2,2,2,3,3,2,2,1,0,6,0
SYN-010,yes,rule_expanded,SEED-001|SEED-012,SF-DEPLOYMENT-JOINT,pass,0,rule_expanded,2026-06-28,1,9,1,4,2,3,2,2,3,2,2,1,0,6,0
SYN-011,yes,rule_expanded,SEED-014,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,1,0,2,3,2,2,2,0,0,1
