observation_id,video_id,segment_id,slab_activity_type,floor_cycle_stage,labour_count_visible,min_visible_labour,max_visible_labour,dominant_visible_labour,congestion_level,reinforcement_complexity,conduit_presence,slab_opening_presence,access_condition,material_movement_method,pour_sequence,surface_condition,safety_exposure,edge_protection_visible,workflow_sequence,task_duration_observed,duration_validity,evidence_level,coding_confidence,source_type,data_use,visible_segment_duration_sec,duration_validity_reason,usable_for_productivity,is_duplicate_or_parallel,duplicate_group_id,independent_sample,parallel_source_note,visible_duration_validity
OBS-M01-001,M01,M01-S01,formwork,pre-pour,3,2,5,3,medium,low,unknown,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,grid_line>thesi>vertical_rebar_prep,79,invalid,E2,medium,video_estimated,structured_coding,79,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,yes,Primary DND slab-cycle documentary,invalid
OBS-M01-002,M01,M01-S02,formwork,pre-pour,4,3,6,4,medium,medium,unknown,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,thesi_support>vertical_rebar,140,invalid,E2,medium,video_estimated,structured_coding,140,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M01-003,M01,M01-S03,formwork,pre-pour,6,4,8,6,high,medium,low,unknown,congested,manual,unknown,pre-pour,medium,unknown,wall_panel_erection>deck_panel,191,invalid,E1,medium,video_observed,structured_coding,191,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M01-004,M01,M01-S04,rebar,pre-pour,5,4,7,5,medium,medium,unknown,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,beam_reinforcement_before_slab_rebar,50,invalid,E2,medium,video_estimated,structured_coding,50,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M01-005,M01,M01-S05,rebar,pre-pour,6,5,8,6,high,high,unknown,unknown,congested,manual,unknown,pre-pour,high,unknown,slab_reinforcement_with_cover,115,invalid,E2,medium,video_estimated,structured_coding,115,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M01-006,M01,M01-S06,MEP,pre-pour,3,2,4,3,medium,medium,high,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,electrical_conduit_and_plumbing,30,invalid,E2,low,video_estimated,structured_coding,30,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M01-007,M01,M01-S07,formwork,pre-pour,4,3,6,4,medium,medium,medium,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,slab_supporting>multi_discipline_check,52,invalid,E2,medium,video_estimated,structured_coding,52,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M01-008,M01,M01-S08,concrete_pour,pour,5,4,7,5,medium,medium,medium,unknown,open,pump,continuous,wet_concrete,high,unknown,final_casting>vibration>level_check,27,invalid,E2,low,video_estimated,structured_coding,27,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M02-001,M02,M02-S01,formwork,pre-pour,3,2,4,3,low,low,unknown,unknown,open,manual,unknown,pre-pour,low,unknown,ground_survey>site_layout,591,invalid,E2,medium,video_estimated,structured_coding,591,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-002,M02,M02-S02,formwork,pre-pour,4,3,6,4,medium,low,unknown,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,setting_out_mivan_at_site,171,invalid,E2,medium,video_estimated,structured_coding,171,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-003,M02,M02-S03,formwork,pre-pour,3,2,5,3,medium,low,unknown,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,grid_line_drawing_reading,190,invalid,E2,medium,video_estimated,structured_coding,190,edited or narrated footage; visible duration only,no,no,,yes,,invalid
