segment_id,video_id,start_time,end_time,segment_duration_sec,activity_type,segment_category,segment_quality,duration_validity,reason_for_rejection,visible_segment_duration_sec,duration_validity_reason,continuous_unedited_segment,time_lapse_or_jump_cut,usable_for_productivity,label_revision_note
M01-S01,M01,00:00:41,00:02:00,79,grid_line_and_thesi,mivan_workflow,medium,invalid,narrated montage not real-time task duration,79,narrated montage not real-time task duration,no,yes,no,
M01-S02,M01,00:02:00,00:04:20,140,vertical_rebar_and_wall_prep,mivan_workflow,medium,invalid,narrated montage not real-time task duration,140,narrated montage not real-time task duration,no,yes,no,
M01-S03,M01,00:04:21,00:07:32,191,wall_panel_erection,mivan_workflow,high,invalid,narrated montage not real-time task duration,191,narrated montage not real-time task duration,no,yes,no,
M01-S04,M01,00:07:33,00:08:23,50,beam_reinforcement,mivan_workflow,medium,invalid,narrated montage not real-time task duration,50,narrated montage not real-time task duration,no,yes,no,
M01-S05,M01,00:08:24,00:10:19,115,slab_reinforcement,mivan_workflow,medium,invalid,narrated montage not real-time task duration,115,narrated montage not real-time task duration,no,yes,no,
M01-S06,M01,00:10:20,00:10:50,30,electrical_mep,mivan_workflow,medium,invalid,narrated montage not real-time task duration,30,narrated montage not real-time task duration,no,yes,no,
M01-S07,M01,00:11:23,00:12:15,52,slab_supporting_and_quality_check,mivan_workflow,medium,invalid,narrated montage not real-time task duration,52,narrated montage not real-time task duration,no,yes,no,
M01-S08,M01,00:12:19,00:12:46,27,concrete_pour_and_vibration,mivan_workflow,low,invalid,narration-heavy; pour not continuously visible,27,narration-heavy; pour not continuously visible,no,yes,no,
R02-S01,R02,00:00:00,00:00:16,16,concrete_leveling,robot_operation,high,invalid,promotional short with text overlay,16,promotional short with text overlay,no,yes,no,
M02-S01,M02,00:02:44,00:12:35,591,ground_survey,mivan_workflow,medium,invalid,chapter-based field documentary; timing for workflow reference only,591,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S02,M02,00:12:35,00:15:26,171,setting_out_mivan,mivan_workflow,medium,invalid,chapter-based field documentary; timing for workflow reference only,171,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S03,M02,00:15:26,00:18:36,190,grid_line_drawing_reading,mivan_workflow,medium,invalid,chapter-based field documentary; timing for workflow reference only,190,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S04,M02,00:18:36,00:19:23,47,vertical_rebar_fixing,mivan_workflow,high,invalid,chapter-based field documentary; timing for workflow reference only,47,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S05,M02,00:19:23,00:22:51,208,formwork_erection,mivan_workflow,high,invalid,chapter-based field documentary; timing for workflow reference only,208,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S06,M02,00:22:51,00:24:32,101,external_wall_erection,mivan_workflow,high,invalid,chapter-based field documentary; timing for workflow reference only,101,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S07,M02,00:24:32,00:33:29,537,shuttering_quality_check,mivan_workflow,medium,invalid,chapter-based field documentary; timing for workflow reference only,537,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S08,M02,00:33:29,00:35:44,135,kicker_level_deviation,mivan_workflow,medium,invalid,chapter-based field documentary; timing for workflow reference only,135,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S09,M02,00:35:44,00:38:22,158,mep_slab_work,mivan_workflow,high,invalid,chapter-based field documentary; timing for workflow reference only,158,chapter-based field documentary; timing for workflow reference only,no,yes,no,
